                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4889,                 4.3357,                 4.1036,                0.00234,                0.02774,                0.00158,                0.00046,                 4.8606,                 4.7293,                 4.1883,             0.00027505,             0.00027505,             0.00027505
                      2,                 3.8596,                 3.3237,                 3.3249,                0.26507,                0.09842,                0.01162,                0.00322,                 3.6894,                 3.2763,                 3.0706,             0.00054177,             0.00054177,             0.00054177
                      3,                 3.2464,                 2.8136,                 2.7557,                 0.1751,                0.14548,                0.03213,                0.01035,                 3.1031,                 2.7655,                 2.5655,              0.0007975,              0.0007975,              0.0007975
                      4,                   2.82,                 2.5778,                 2.3927,                0.23828,                0.12076,                0.05896,                0.02294,                  2.613,                 2.4762,                 2.2234,             0.00078352,             0.00078352,             0.00078352
                      5,                 2.5495,                 2.4374,                 2.1742,                0.22664,                0.14174,                0.07163,                0.02907,                  2.428,                 2.4171,                 2.0786,             0.00078352,             0.00078352,             0.00078352
                      6,                 2.3847,                  2.347,                 2.0305,                 0.2929,                0.15367,                0.09821,                0.04199,                 2.3479,                 2.2488,                 1.9657,             0.00076703,             0.00076703,             0.00076703
                      7,                 2.2498,                 2.2498,                 1.9004,                0.22358,                0.18321,                0.11472,                0.05121,                 2.2362,                 2.1972,                 1.8837,             0.00075053,             0.00075053,             0.00075053
                      8,                 2.1644,                  2.203,                 1.8261,                0.18626,                0.21621,                0.13803,                0.06505,                 2.0542,                 2.1232,                 1.7544,             0.00073404,             0.00073404,             0.00073404
                      9,                 2.0891,                 2.1603,                 1.7546,                0.19029,                0.24027,                0.14493,                0.07213,                 1.9832,                 2.0991,                 1.7097,             0.00071755,             0.00071755,             0.00071755
                     10,                 2.0423,                 2.1432,                 1.7143,                0.36562,                0.23935,                0.16899,                0.08281,                 1.9375,                 2.0327,                 1.6612,             0.00070105,             0.00070105,             0.00070105
                     11,                 1.9809,                  2.111,                 1.6729,                0.36018,                0.23519,                0.17382,                0.08831,                 1.8892,                 2.0274,                 1.6274,             0.00068456,             0.00068456,             0.00068456
                     12,                 1.9359,                 2.0785,                 1.6336,                0.39068,                0.24768,                0.18866,                 0.0996,                 1.8336,                 1.9896,                 1.5976,             0.00066807,             0.00066807,             0.00066807
                     13,                 1.8809,                 2.0598,                 1.6014,                0.38068,                0.24914,                0.18956,                0.09926,                 1.8132,                 1.9944,                 1.5751,             0.00065157,             0.00065157,             0.00065157
                     14,                 1.8614,                 2.0412,                  1.576,                0.42236,                0.25776,                 0.2078,                0.11296,                 1.7721,                  1.948,                 1.5407,             0.00063508,             0.00063508,             0.00063508
                     15,                 1.8295,                 2.0189,                 1.5589,                0.38302,                0.27789,                0.20714,                0.11418,                 1.7644,                 1.9262,                 1.5288,             0.00061859,             0.00061859,             0.00061859
                     16,                 1.8105,                 1.9995,                 1.5463,                 0.3996,                0.26715,                0.21051,                0.11538,                 1.7451,                 1.9601,                 1.5197,             0.00060209,             0.00060209,             0.00060209
                     17,                 1.7898,                 1.9886,                 1.5287,                0.40187,                0.28028,                0.22228,                0.12279,                 1.7171,                 1.8916,                 1.5036,              0.0005856,              0.0005856,              0.0005856
                     18,                 1.7656,                 1.9834,                 1.5183,                0.42942,                0.28885,                0.23623,                0.13347,                 1.6604,                 1.8679,                 1.4708,             0.00056911,             0.00056911,             0.00056911
                     19,                 1.7395,                 1.9527,                 1.4951,                 0.4154,                0.27909,                0.22959,                0.13001,                 1.6727,                 1.8718,                 1.4722,             0.00055261,             0.00055261,             0.00055261
                     20,                 1.7319,                 1.9395,                 1.4876,                0.43805,                0.29637,                0.24984,                0.14519,                 1.6246,                 1.8257,                 1.4467,             0.00053612,             0.00053612,             0.00053612
                     21,                 1.7134,                 1.9404,                 1.4777,                0.44507,                0.29508,                0.25081,                 0.1443,                 1.6227,                 1.8502,                 1.4434,             0.00051963,             0.00051963,             0.00051963
                     22,                 1.7077,                 1.9305,                 1.4667,                0.43028,                0.30116,                0.25377,                 0.1492,                 1.6097,                 1.8471,                 1.4312,             0.00050313,             0.00050313,             0.00050313
                     23,                 1.6792,                 1.9064,                 1.4539,                0.43959,                0.30228,                0.25481,                0.14928,                 1.6006,                 1.8224,                 1.4272,             0.00048664,             0.00048664,             0.00048664
                     24,                 1.6723,                 1.9046,                 1.4432,                0.41853,                0.31173,                0.25448,                0.14825,                 1.6183,                 1.8358,                 1.4373,             0.00047015,             0.00047015,             0.00047015
                     25,                 1.6648,                 1.9024,                 1.4438,                0.44699,                0.31276,                0.26261,                0.15605,                 1.5744,                 1.8008,                 1.4169,             0.00045365,             0.00045365,             0.00045365
                     26,                 1.6532,                 1.8873,                 1.4325,                0.46098,                 0.3102,                0.27609,                0.16637,                 1.5565,                  1.776,                 1.3922,             0.00043716,             0.00043716,             0.00043716
                     27,                 1.6371,                 1.8861,                 1.4264,                0.45176,                 0.2971,                0.26697,                0.15771,                 1.5895,                 1.7954,                  1.414,             0.00042066,             0.00042066,             0.00042066
                     28,                 1.6311,                 1.8735,                 1.4183,                0.46234,                0.31695,                 0.2824,                0.16934,                 1.5464,                 1.7725,                 1.3873,             0.00040417,             0.00040417,             0.00040417
                     29,                 1.6155,                 1.8675,                 1.4134,                0.46528,                 0.3127,                0.28089,                0.16759,                 1.5376,                 1.7826,                 1.3826,             0.00038768,             0.00038768,             0.00038768
                     30,                 1.6233,                 1.8487,                 1.4022,                0.47361,                0.32957,                0.29724,                0.18189,                 1.5045,                 1.7475,                 1.3664,             0.00037118,             0.00037118,             0.00037118
                     31,                 1.6151,                 1.8533,                 1.4044,                 0.4716,                0.32707,                0.28636,                0.17567,                 1.5151,                 1.7419,                  1.368,             0.00035469,             0.00035469,             0.00035469
                     32,                 1.5806,                 1.8318,                 1.3897,                0.48734,                0.33272,                0.30127,                0.18658,                 1.5075,                 1.7249,                 1.3648,              0.0003382,              0.0003382,              0.0003382
                     33,                 1.5868,                  1.831,                 1.3894,                0.48662,                0.33004,                0.29735,                0.18323,                  1.489,                 1.7384,                 1.3557,              0.0003217,              0.0003217,              0.0003217
                     34,                 1.5852,                 1.8374,                 1.3895,                 0.4743,                0.34045,                0.30719,                0.19246,                 1.4922,                 1.7081,                 1.3558,             0.00030521,             0.00030521,             0.00030521
                     35,                 1.5768,                 1.8299,                 1.3836,                0.49182,                0.33574,                0.30494,                0.19074,                 1.4912,                 1.7281,                 1.3522,             0.00028872,             0.00028872,             0.00028872
                     36,                 1.5722,                  1.824,                 1.3835,                0.48128,                0.34333,                0.30988,                 0.1942,                 1.4732,                 1.6983,                 1.3404,             0.00027222,             0.00027222,             0.00027222
